=== SHEET: Co2、MAGロボット ===
Row 1: Col1: [2025/4～] | Col2: [] | Col3: [設備名] | Col4: [] | Col5: [] | Col6: [設備呼称] | Col7: [] | Col8: [] | Col9: [] | Col10: [NO] | Col11: [制改訂日] | Col12: [] | Col13: [] | Col14: [制改訂内容] | Col15: [] | 
Row 2: Col1: [] | Col2: [] | Col3: [Co2、MAG溶接ロボット] | Col4: [] | Col5: [] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [1] | Col11: [2025/2/14] | Col12: [] | Col13: [] | Col14: [制定] | Col15: [] | 
Row 4: Col1: [点検項目] | Col2: [] | Col3: [] | Col4: [] | Col5: [内容] | Col6: [] | Col7: [4月] | Col8: [5月] | Col9: [6月] | Col10: [7月] | Col11: [8月] | Col12: [9月] | Col13: [10月] | Col14: [11月] | Col15: [12月] | 
Row 5: Col1: [①] | Col2: [] | Col3: [] | Col4: [] | Col5: [] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 8: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [溶接機裏側の] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 9: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [フィルターを清掃] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 13: Col1: [②] | Col2: [] | Col3: [] | Col4: [] | Col5: [] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 14: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [1F中庭] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 15: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [ガス圧計のゲージ内に] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 16: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [針があるか確認] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 17: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [（異常が見られたら] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 18: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [大丸エナウィンに連絡）] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 21: Col1: [③] | Col2: [] | Col3: [] | Col4: [] | Col5: [] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 22: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [溶接機電源を入れ] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 23: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [異音が無いか確認] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 25: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [(例)ファンが強く] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 26: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [回っていないかなど] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 29: Col1: [④] | Col2: [] | Col3: [] | Col4: [] | Col5: [] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 31: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [非常停止ボタンを] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 32: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [押して作動するか] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 34: Col1: [] | Col2: [] | Col3: [] | Col4: [] | Col5: [（運転準備を入れて行う）] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
Row 37: Col1: [⑤] | Col2: [] | Col3: [] | Col4: [] | Col5: [] | Col6: [] | Col7: [] | Col8: [] | Col9: [] | Col10: [] | Col11: [] | Col12: [] | Col13: [] | Col14: [] | Col15: [] | 
